Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
46,Insulated container,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,>15%,Yes
61,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
76,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
67,Open air / uncovered,Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,5-15%,Yes
47,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
6,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
102,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
110,Insulated container,Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,5-15%,Yes
117,Insulated container,None,Normal (smooth),Thermal flask,Strong off-odor,5-15%,Yes
35,Covered in container,Low (pH~6.5),Thickened,Thermal flask,Fresh/normal,None,No
92,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Strong off-odor,Oil film present,Yes
79,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
61,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Strong off-odor,None,No
77,Covered in container,High (pH~4.5),Mushy,Thermal flask,Strong off-odor,>15%,Yes
52,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Rancid smell,Oil film present,Yes
69,Warm environment (≈35°C),None,Mushy,Open bowl,Sour fermentation smell,>15%,Yes
78,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Open bowl,Rancid smell,Oil film present,Yes
106,Insulated container,None,Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
52,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
99,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
43,Insulated container,Low (pH~6.5),Clotted/curdled,Thermal flask,Rancid smell,>15%,Yes
19,Room temperature (≈25°C),None,Thickened,Thermal flask,Fresh/normal,None,No
27,Open air / uncovered,Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
92,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
61,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,5-15%,Yes
64,Room temperature (≈25°C),None,Thickened,Glass jar sealed,Slight off-smell,None,No
28,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
68,Insulated container,None,Normal (smooth),Metal container,Slight off-smell,5-15%,No
1,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
3,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
6,Insulated container,None,Normal (smooth),Plastic box with lid,Slight off-smell,Oil film present,No
91,Insulated container,None,Clotted/curdled,Plastic box with lid,Fresh/normal,None,No
80,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
15,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
86,Refrigerated (≈4°C),Low (pH~6.5),Mushy,Thermal flask,Slight off-smell,5-15%,Yes
41,Insulated container,High (pH~4.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,>15%,Yes
43,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
56,Insulated container,High (pH~4.5),Normal (smooth),Plastic box with lid,Strong off-odor,<5%,Yes
71,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,<5%,No
103,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,None,Yes
56,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Strong off-odor,>15%,Yes
32,Room temperature (≈25°C),None,Mushy,Plastic box with lid,Rancid smell,>15%,Yes
90,Warm environment (≈35°C),None,Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
28,Room temperature (≈25°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
95,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
45,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,5-15%,Yes
37,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,5-15%,Yes
7,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Strong off-odor,<5%,Yes
111,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
97,Covered in container,Low (pH~6.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
48,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
15,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Thermal flask,Fresh/normal,None,No
109,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
92,Covered in container,None,Normal (smooth),Thermal flask,Rancid smell,None,No
57,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Metal container,Rancid smell,None,Yes
41,Covered in container,Low (pH~6.5),Thickened,Metal container,Fresh/normal,5-15%,No
56,Covered in container,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,<5%,No
118,Covered in container,High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,>15%,Yes
112,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,5-15%,Yes
49,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Glass jar sealed,Strong off-odor,None,Yes
62,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
8,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
44,Insulated container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,5-15%,Yes
45,Warm environment (≈35°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
10,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
10,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
106,Covered in container,High (pH~4.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
99,Insulated container,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
70,Warm environment (≈35°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,Oil film present,Yes
35,Refrigerated (≈4°C),Moderate (pH~5.5),Mushy,Metal container,Fresh/normal,None,No
109,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,>15%,Yes
62,Covered in container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,<5%,Yes
32,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
6,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
53,Room temperature (≈25°C),Low (pH~6.5),Thickened,Metal container,Rancid smell,Oil film present,Yes
37,Room temperature (≈25°C),None,Thickened,Thermal flask,Fresh/normal,None,No
64,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Sour fermentation smell,5-15%,Yes
40,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
84,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Sour fermentation smell,<5%,Yes
13,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
0,Insulated container,Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
79,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
88,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
92,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Sour fermentation smell,Oil film present,Yes
50,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
111,Refrigerated (≈4°C),High (pH~4.5),Mushy,Open bowl,Rancid smell,<5%,Yes
59,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
99,Insulated container,Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
3,Warm environment (≈35°C),None,Normal (smooth),Open bowl,Slight off-smell,<5%,No
81,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Slight off-smell,Oil film present,Yes
38,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,Oil film present,Yes
92,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
24,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
58,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
100,Insulated container,None,Normal (smooth),Thermal flask,Slight off-smell,None,No
111,Open air / uncovered,High (pH~4.5),Thickened,Plastic box with lid,Rancid smell,>15%,Yes
12,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Slight off-smell,None,No
66,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
17,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
96,Covered in container,None,Watery separation,Glass jar sealed,Fresh/normal,5-15%,No
85,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Slight off-smell,None,No
45,Open air / uncovered,High (pH~4.5),Normal (smooth),Metal container,Sour fermentation smell,5-15%,Yes
73,Open air / uncovered,Moderate (pH~5.5),Thickened,Open bowl,Sour fermentation smell,<5%,Yes
62,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,None,No
35,Open air / uncovered,Low (pH~6.5),Watery separation,Thermal flask,Fresh/normal,None,No
78,Covered in container,None,Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
13,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,<5%,No
84,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Slight off-smell,>15%,Yes
74,Refrigerated (≈4°C),None,Watery separation,Metal container,Fresh/normal,None,No
35,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,5-15%,No
16,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Open bowl,Sour fermentation smell,>15%,Yes
4,Covered in container,None,Thickened,Metal container,Fresh/normal,<5%,No
29,Refrigerated (≈4°C),Low (pH~6.5),Watery separation,Open bowl,Fresh/normal,None,No
47,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
95,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
7,Insulated container,None,Watery separation,Metal container,Fresh/normal,None,No
7,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
73,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Slight off-smell,>15%,Yes
11,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
110,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,5-15%,Yes
96,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Open bowl,Rancid smell,Oil film present,Yes
53,Insulated container,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,Oil film present,Yes
69,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,<5%,Yes
36,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,<5%,No
50,Open air / uncovered,High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,None,Yes
2,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
1,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
72,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,Oil film present,No
77,Warm environment (≈35°C),Low (pH~6.5),Thickened,Glass jar sealed,Rancid smell,>15%,Yes
4,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
26,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
44,Covered in container,None,Clotted/curdled,Metal container,Strong off-odor,5-15%,Yes
28,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
36,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Sour fermentation smell,5-15%,Yes
87,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Glass jar sealed,Strong off-odor,<5%,Yes
105,Insulated container,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,<5%,Yes
48,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,>15%,Yes
116,Refrigerated (≈4°C),None,Thickened,Metal container,Fresh/normal,None,No
6,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
87,Open air / uncovered,None,Mushy,Plastic box with lid,Strong off-odor,Oil film present,Yes
54,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
16,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
114,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Slight off-smell,5-15%,Yes
113,Insulated container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
102,Covered in container,Low (pH~6.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
25,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
46,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
96,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,None,Yes
15,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Strong off-odor,5-15%,Yes
21,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Slight off-smell,5-15%,No
48,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
60,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Rancid smell,>15%,Yes
41,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,Oil film present,Yes
99,Insulated container,None,Watery separation,Glass jar sealed,Slight off-smell,Oil film present,Yes
116,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
82,Covered in container,Moderate (pH~5.5),Mushy,Thermal flask,Strong off-odor,>15%,Yes
60,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
95,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
37,Insulated container,Moderate (pH~5.5),Watery separation,Metal container,Rancid smell,<5%,Yes
111,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
69,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
68,Covered in container,High (pH~4.5),Mushy,Open bowl,Strong off-odor,>15%,Yes
35,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Slight off-smell,None,No
0,Insulated container,None,Mushy,Thermal flask,Fresh/normal,None,No
112,Open air / uncovered,High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
1,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Plastic box with lid,Slight off-smell,5-15%,Yes
18,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
119,Covered in container,High (pH~4.5),Thickened,Glass jar sealed,Sour fermentation smell,5-15%,Yes
109,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
5,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
10,Open air / uncovered,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
2,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
28,Covered in container,None,Thickened,Open bowl,Fresh/normal,<5%,No
50,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,Oil film present,Yes
60,Covered in container,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,Oil film present,Yes
56,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
19,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
112,Open air / uncovered,Low (pH~6.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
102,Open air / uncovered,Moderate (pH~5.5),Mushy,Glass jar sealed,Strong off-odor,5-15%,Yes
66,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
31,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
11,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
55,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
10,Covered in container,None,Mushy,Plastic box with lid,Fresh/normal,None,No
20,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Glass jar sealed,Rancid smell,None,No
86,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
75,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,<5%,Yes
9,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
104,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,<5%,Yes
45,Warm environment (≈35°C),Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,>15%,No
120,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,5-15%,Yes
40,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
62,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Strong off-odor,None,No
119,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Slight off-smell,Oil film present,Yes
97,Insulated container,Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,Oil film present,Yes
3,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
25,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Thermal flask,Slight off-smell,None,No
96,Insulated container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
44,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Slight off-smell,5-15%,Yes
16,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,<5%,No
50,Covered in container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,5-15%,Yes
85,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Rancid smell,Oil film present,Yes
33,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
119,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
98,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Open bowl,Sour fermentation smell,Oil film present,Yes
97,Warm environment (≈35°C),High (pH~4.5),Thickened,Thermal flask,Rancid smell,Oil film present,Yes
95,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
106,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,None,Yes
40,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
100,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Metal container,Fresh/normal,None,No
93,Insulated container,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,>15%,Yes
35,Covered in container,None,Normal (smooth),Open bowl,Sour fermentation smell,None,No
69,Open air / uncovered,None,Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
120,Insulated container,High (pH~4.5),Thickened,Metal container,Sour fermentation smell,5-15%,Yes
65,Open air / uncovered,High (pH~4.5),Watery separation,Glass jar sealed,Fresh/normal,Oil film present,Yes
63,Open air / uncovered,Moderate (pH~5.5),Mushy,Plastic box with lid,Strong off-odor,Oil film present,Yes
115,Room temperature (≈25°C),Low (pH~6.5),Thickened,Thermal flask,Sour fermentation smell,None,Yes
80,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
117,Open air / uncovered,High (pH~4.5),Normal (smooth),Plastic box with lid,Strong off-odor,Oil film present,Yes
42,Covered in container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,<5%,Yes
84,Refrigerated (≈4°C),None,Watery separation,Glass jar sealed,Fresh/normal,None,No
94,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,<5%,Yes
24,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
74,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
52,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Open bowl,Rancid smell,5-15%,Yes
99,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Fresh/normal,5-15%,Yes
103,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,>15%,Yes
37,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,5-15%,Yes
49,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
30,Warm environment (≈35°C),None,Normal (smooth),Open bowl,Fresh/normal,5-15%,No
45,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
78,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
21,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
73,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
51,Covered in container,None,Thickened,Metal container,Fresh/normal,None,No
99,Open air / uncovered,Moderate (pH~5.5),Mushy,Open bowl,Sour fermentation smell,5-15%,Yes
29,Warm environment (≈35°C),None,Thickened,Glass jar sealed,Fresh/normal,None,No
77,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,<5%,No
45,Insulated container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
67,Room temperature (≈25°C),None,Thickened,Metal container,Fresh/normal,5-15%,No
107,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
113,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,>15%,Yes
8,Covered in container,None,Clotted/curdled,Metal container,Fresh/normal,None,No
71,Insulated container,High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
45,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,>15%,Yes
17,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
98,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
12,Insulated container,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
76,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Rancid smell,Oil film present,Yes
99,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,>15%,Yes
43,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
41,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,Oil film present,No
88,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Slight off-smell,<5%,Yes
105,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
21,Insulated container,High (pH~4.5),Thickened,Open bowl,Fresh/normal,>15%,Yes
0,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Rancid smell,None,No
31,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
10,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
62,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Slight off-smell,>15%,Yes
26,Open air / uncovered,None,Watery separation,Metal container,Strong off-odor,Oil film present,Yes
84,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,Oil film present,Yes
56,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Open bowl,Strong off-odor,5-15%,Yes
98,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Rancid smell,None,No
38,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
79,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Rancid smell,>15%,Yes
44,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,<5%,Yes
119,Insulated container,High (pH~4.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
110,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,<5%,Yes
3,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
105,Refrigerated (≈4°C),None,Thickened,Glass jar sealed,Fresh/normal,None,No
15,Insulated container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
7,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
42,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
33,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
16,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
33,Warm environment (≈35°C),None,Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
115,Room temperature (≈25°C),Low (pH~6.5),Watery separation,Open bowl,Sour fermentation smell,Oil film present,Yes
10,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
47,Room temperature (≈25°C),Moderate (pH~5.5),Thickened,Thermal flask,Slight off-smell,Oil film present,Yes
63,Room temperature (≈25°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,>15%,Yes
53,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,>15%,Yes
45,Insulated container,None,Normal (smooth),Metal container,Slight off-smell,>15%,No
81,Covered in container,Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
35,Open air / uncovered,High (pH~4.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
37,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
43,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
12,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Rancid smell,None,No
67,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
8,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
22,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Slight off-smell,None,No
104,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
